Mouse,Date,En,Probe,ML,AP,DV,theta,phi,Insertion_1,Insertion_2,Insertion_3,MSE
AB_0023,2022-08-18,1,p0,770,-2900,4700,90,0,536,-2525,-68,442.019230350897
AB_0023,2022-08-19,1,p0,-1200,-2300,6360,65,-90,-1289,-1600,-43,705.635174860211
AB_0023,2022-08-19,1,p1,2180,-2440,4600,90,0,1761,-2150,-143,509.569426084415
AB_0023,2022-08-22,1,p0,1800,-2650,6000,65,-90,1611,-2075,-193,605.265231117731
AB_0023,2022-08-23,1,p0,-3300,-1520,4950,90,0,-3514,-1525,-843,214.058403245469
AB_0023,2022-08-24,1,p0,-3300,-1200,4550,90,0,-3614,-1050,-943,347.988505557295
AB_0023,2022-08-25,3,p0,3314,-1525,5150,90,0,3211,-1300,-743,247.455046422577
AB_0023,2022-08-26,1,p0,3300,-1100,4500,90,0,3186,-875,-743,252.232036030319
AB_0023,2022-08-29,1,p0,-1800,-2600,6000,65,-90,-1939,-2275,-93,353.47701481143
ab_0025,2022-08-23,1,p0,-630,-2400,5000,90,0,-563.999999999999,-1825,-43,578.77543140669
ab_0025,2022-08-24,1,p0,-500,-2500,4800,90,0,-439,-2300,57,209.095671882514
ab_0025,2022-08-25,1,p0,-490,-2800,4500,90,0,-413.999999999999,-2525,-18,285.308604847453
ab_0025,2022-08-26,1,p0,-2200,-2600,4000,90,0,-2414,-2475,-168,247.832604796059
ab_0025,2022-08-29,1,p0,-1750,-2400,5600,65,-90,-1764,-2050,-43,350.279888089511
ab_0025,2022-08-30,1,p0,500,-2400,4900,90,0,561,-1950,32,454.11562404304
ab_0025,2022-08-31,1,p0,500,-2150,4900,90,0,561,-2075,57,96.6747123088559
ab_0025,2022-09-01,1,p0,630,-2770,4800,90,0,536,-2175,6.99999999999995,602.379448520615
ab_0025,2022-09-02,1,p0,2200,-2600,3900,90,0,1936,-1950,-68,701.566817915442
ab_0025,2022-09-05,1,p0,2150,-2800,4000,90,0,2086,-2350,-68,454.528326950038
ab_0025,2022-09-06,1,p0,3300,-1200,4550,90,0,3186,-675,-843,537.234585632757
ab_0025,2022-09-07,1,p0,3300,-1450,5300,90,0,3236,-1050,-743,405.08764483751
ab_0025,2022-09-08,3,p0,-2750,-1340,5100,85,0,-3214,-400,-943,1048.28240469828
ab_0025,2022-09-09,1,p0,-2830,-1040,4650,84,0,-3164,-1025,-868,334.336656680059
ab_0025,2022-09-21,1,p0,-1570,-70,5750,90,0,-1414,200,-493,311.826875044471
ab_0025,2022-09-22,2,p0,-1360,726,5300,90,0,-1339,1100,-893,374.58910822393
ab_0025,2022-09-27,1,p0,1710,170,5300,90,0,1486,450,-618,358.574957296239
ab_0025,2022-09-28,1,p0,1600,600,5700,90,0,1361,975,-743,444.686406358458
ab_0024,2022-08-30,1,p0,-1340,-4980,4100,80,-90,-1214,-4925,-893,137.480907765406
ab_0024,2022-08-31,1,p0,-1550,-4700,4000,80,-90,-1564,-4825,-1193,125.781556676645
ab_0024,2022-09-01,1,p0,620,-2430,4700,90,0,486,-2300,-43,186.697616481839
ab_0024,2022-09-02,1,p0,600,-2100,4700,90,0,436,-2100,-18,164
ab_0024,2022-09-05,1,p0,500,-2750,4400,90,0,186,-2750,-93,314
ab_0024,2022-09-21,1,p0,1350,-4900,4450,80,-90,1511,-5225,-1043,362.692707398426
ab_0024,2022-09-22,1,p0,1500,-4950,4220,80,-90,1761,-5325,-1118,456.887294636215
ab_0024,2022-09-27,1,p0,-520,-2300,4850,90,0,-739,-2400,-43,240.750908617185
ab_0024,2022-09-28,3,p0,-530,-2700,4800,90,0,-739,-2650,-93,214.897650056952
ab_0024,2022-09-29,1,p0,-2500,-1200,5600,85,0,-2839,-1175,-568,339.920578959262
ab_0024,2022-09-30,1,p0,-2600,-1500,5650,85,0,-2739,-1475,-518,141.230308361909
